year,no2 avg,no2 aqi,ozone avg,ozone aqi,county,City Name
2020,16.0954,24.5683,0.0282,41.8907,Orange,Anaheim
2021,15.6763,23.8821,0.027,36.1452,Orange,Anaheim
2022,16.0618,25.6354,0.0305,40.011,Orange,Anaheim
2018,13.0286,21.2904,0.0268,40.6959,Orange,La Habra
2019,12.0968,20.1547,0.0262,40.772,Orange,La Habra
2020,12.8153,20.7784,0.0278,47.4114,Orange,La Habra
2021,12.6954,20.4314,0.0272,39.9011,Orange,La Habra
2022,12.45,21.2873,0.0314,45.0663,Orange,La Habra
2018,3.9946,8.8685,0.0433,56.9151,San Diego,Alpine
2019,3.9251,8.2821,0.0428,55.0744,San Diego,Alpine
2020,3.8482,8.3619,0.0431,55.8194,San Diego,Alpine
2021,4.3243,9.3716,0.0449,57.9562,San Diego,Alpine
2022,3.1245,7.2733,0.0479,57.4733,San Diego,Alpine
2018,5.7102,14.4367,0.0335,38.6836,San Diego,Camp Pendleton South
2019,4.9208,12.9178,0.0318,36.2198,San Diego,Camp Pendleton South
2020,5.744,14.337,0.032,38.7923,San Diego,Camp Pendleton South
2021,5.5733,13.5552,0.0337,37.753,San Diego,Camp Pendleton South
2022,6.0051,15.6443,0.0374,42.7905,San Diego,Camp Pendleton South
2018,8.6436,18.105,0.0298,36.9185,San Diego,Chula Vista
2019,8.1352,17.5425,0.031,38.7425,San Diego,Chula Vista
2020,8.6135,17.4932,0.0297,39.2377,San Diego,Chula Vista
2021,7.9443,16.9945,0.0326,39.9315,San Diego,Chula Vista
2022,10.9688,22.3841,0.0333,41.7815,San Diego,Chula Vista
2018,7.8673,14.3233,0.0352,44.7308,San Diego,El Cajon
2019,8.0719,14.2238,0.0342,43.6381,San Diego,El Cajon
2020,9.5756,16.2391,0.0335,46.2022,San Diego,El Cajon
2021,7.1748,12.326,0.0354,44.5589,San Diego,El Cajon
2022,9.2502,15.7748,0.036,45.28,San Diego,El Cajon
2018,6.2509,16.1671,0.0343,41.5879,San Diego,Otay Mesa
2019,7.2666,17.8395,0.0315,38.0082,San Diego,Otay Mesa
2020,8.1413,18.8685,0.0333,44.1951,San Diego,Otay Mesa
2021,7.9089,18.8099,0.0326,40.2164,San Diego,Otay Mesa
2022,8.4715,21.5828,0.035,42.3907,San Diego,Otay Mesa
2018,11.3605,20.0813,0.033,41.3774,San Diego,San Diego
2019,11.293,20.2023,0.0308,39.2387,San Diego,San Diego
2020,10.383,18.9743,0.0321,41.8825,San Diego,San Diego
2021,8.9403,16.2428,0.034,40.4431,San Diego,San Diego
2022,12.802,23.3996,0.0345,41.7715,San Diego,San Diego
2018,14.3911,22.5534,0.0233,30.8164,Santa Clara,San Jose
2019,12.5709,20.8957,0.0245,32.697,Santa Clara,San Jose
2020,11.6661,19.4604,0.0243,33.224,Santa Clara,San Jose
2021,10.4788,17.8534,0.0265,34.6192,Santa Clara,San Jose
2022,9.9257,17.4259,0.0266,34.1542,Santa Clara,San Jose
